,21 ±×·¥
0,-0.1281767955801105
1,-0.1281767955801105
2,-0.1281767955801105
3,-0.1281767955801105
4,-0.1281767955801105
5,-0.1281767955801105
6,-0.1281767955801105
7,-0.1281767955801105
8,-0.1281767955801105
9,-0.1281767955801105
10,-0.1281767955801105
11,-0.1281767955801105
12,-0.1281767955801105
13,-0.1281767955801105
14,-0.1281767955801105
15,-0.1281767955801105
16,-0.1281767955801105
17,-0.1281767955801105
18,-0.1281767955801105
19,-0.1281767955801105
20,-0.1281767955801105
21,-0.1281767955801105
22,-0.1281767955801105
23,0.8718232044198895
24,-0.1281767955801105
25,-0.1281767955801105
26,-0.1281767955801105
27,9.87182320441989
28,-0.1281767955801105
29,-0.1281767955801105
30,-0.1281767955801105
31,-0.1281767955801105
32,-0.1281767955801105
33,-0.1281767955801105
34,-0.1281767955801105
35,9.87182320441989
36,-0.1281767955801105
37,-0.1281767955801105
38,-0.1281767955801105
39,-0.1281767955801105
40,-0.1281767955801105
41,-0.1281767955801105
42,-0.1281767955801105
43,-0.1281767955801105
44,-0.1281767955801105
45,-0.1281767955801105
46,-0.1281767955801105
47,-0.1281767955801105
48,-0.1281767955801105
49,-0.1281767955801105
50,-0.1281767955801105
51,-0.1281767955801105
52,-0.1281767955801105
53,-0.1281767955801105
54,-0.1281767955801105
55,-0.1281767955801105
56,-0.1281767955801105
57,-0.1281767955801105
58,-0.1281767955801105
59,-0.1281767955801105
60,-0.1281767955801105
61,-0.1281767955801105
62,-0.1281767955801105
63,7.87182320441989
64,-0.1281767955801105
65,-0.1281767955801105
66,-0.1281767955801105
67,-0.1281767955801105
68,-0.1281767955801105
69,-0.1281767955801105
70,-0.1281767955801105
71,-0.1281767955801105
72,-0.1281767955801105
73,-0.1281767955801105
74,-0.1281767955801105
75,-0.1281767955801105
76,-0.1281767955801105
77,-0.1281767955801105
78,-0.1281767955801105
79,-0.1281767955801105
80,-0.1281767955801105
81,-0.1281767955801105
82,-0.1281767955801105
83,-0.1281767955801105
84,-0.1281767955801105
85,-0.1281767955801105
86,-0.1281767955801105
87,-0.1281767955801105
88,-0.1281767955801105
89,-0.1281767955801105
90,-0.1281767955801105
91,-0.1281767955801105
92,-0.1281767955801105
93,-0.1281767955801105
94,-0.1281767955801105
95,-0.1281767955801105
96,-0.1281767955801105
97,-0.1281767955801105
98,-0.1281767955801105
99,-0.1281767955801105
100,-0.1281767955801105
101,-0.1281767955801105
102,-0.1281767955801105
103,-0.1281767955801105
104,-0.1281767955801105
105,-0.1281767955801105
106,-0.1281767955801105
107,-0.1281767955801105
108,-0.1281767955801105
109,-0.1281767955801105
110,-0.1281767955801105
111,-0.1281767955801105
112,-0.1281767955801105
113,-0.1281767955801105
114,-0.1281767955801105
115,-0.1281767955801105
116,0.8718232044198895
117,-0.1281767955801105
118,-0.1281767955801105
119,-0.1281767955801105
120,-0.1281767955801105
121,-0.1281767955801105
122,-0.1281767955801105
123,-0.1281767955801105
124,-0.1281767955801105
125,-0.1281767955801105
126,-0.1281767955801105
127,-0.1281767955801105
128,-0.1281767955801105
129,-0.1281767955801105
130,-0.1281767955801105
131,-0.1281767955801105
132,-0.1281767955801105
133,-0.1281767955801105
134,-0.1281767955801105
135,-0.1281767955801105
136,-0.1281767955801105
137,-0.1281767955801105
138,-0.1281767955801105
139,-0.1281767955801105
140,-0.1281767955801105
141,-0.1281767955801105
142,-0.1281767955801105
143,-0.1281767955801105
144,-0.1281767955801105
145,-0.1281767955801105
146,-0.1281767955801105
147,-0.1281767955801105
148,-0.1281767955801105
149,-0.1281767955801105
150,-0.1281767955801105
151,-0.1281767955801105
152,-0.1281767955801105
153,-0.1281767955801105
154,-0.1281767955801105
155,-0.1281767955801105
156,9.87182320441989
157,-0.1281767955801105
158,-0.1281767955801105
159,-0.1281767955801105
160,-0.1281767955801105
161,-0.1281767955801105
162,-0.1281767955801105
163,5.87182320441989
164,-0.1281767955801105
165,-0.1281767955801105
166,-0.1281767955801105
167,-0.1281767955801105
168,-0.1281767955801105
169,-0.1281767955801105
170,-0.1281767955801105
171,-0.1281767955801105
172,-0.1281767955801105
173,-0.1281767955801105
174,9.87182320441989
175,9.87182320441989
176,-0.1281767955801105
177,-0.1281767955801105
178,-0.1281767955801105
179,-0.1281767955801105
180,-0.1281767955801105
181,-0.1281767955801105
182,-0.1281767955801105
183,-0.1281767955801105
184,-0.1281767955801105
185,-0.1281767955801105
186,-0.1281767955801105
187,-0.1281767955801105
188,-0.1281767955801105
189,-0.1281767955801105
190,-0.1281767955801105
191,-0.1281767955801105
192,-0.1281767955801105
193,-0.1281767955801105
194,-0.1281767955801105
195,-0.1281767955801105
196,-0.1281767955801105
197,-0.1281767955801105
198,-0.1281767955801105
199,-0.1281767955801105
200,-0.1281767955801105
201,5.87182320441989
202,0.8718232044198895
203,-0.1281767955801105
204,-0.1281767955801105
205,-0.1281767955801105
206,-0.1281767955801105
207,-0.1281767955801105
208,-0.1281767955801105
209,-0.1281767955801105
210,-0.1281767955801105
211,-0.1281767955801105
212,-0.1281767955801105
213,-0.1281767955801105
214,-0.1281767955801105
215,-0.1281767955801105
216,-0.1281767955801105
217,-0.1281767955801105
218,-0.1281767955801105
219,-0.1281767955801105
220,-0.1281767955801105
221,-0.1281767955801105
222,-0.1281767955801105
223,-0.1281767955801105
224,-0.1281767955801105
225,-0.1281767955801105
226,-0.1281767955801105
227,-0.1281767955801105
228,-0.1281767955801105
229,4.87182320441989
230,-0.1281767955801105
231,-0.1281767955801105
232,-0.1281767955801105
233,-0.1281767955801105
234,-0.1281767955801105
235,-0.1281767955801105
236,-0.1281767955801105
237,-0.1281767955801105
238,-0.1281767955801105
239,-0.1281767955801105
240,-0.1281767955801105
241,-0.1281767955801105
242,-0.1281767955801105
243,-0.1281767955801105
244,-0.1281767955801105
245,-0.1281767955801105
246,-0.1281767955801105
247,-0.1281767955801105
248,-0.1281767955801105
249,-0.1281767955801105
250,-0.1281767955801105
251,-0.1281767955801105
252,-0.1281767955801105
253,-0.1281767955801105
254,-0.1281767955801105
255,-0.1281767955801105
256,-0.1281767955801105
257,-0.1281767955801105
258,-0.1281767955801105
259,-0.1281767955801105
260,-0.1281767955801105
261,-0.1281767955801105
262,-0.1281767955801105
263,-0.1281767955801105
264,-0.1281767955801105
265,-0.1281767955801105
266,-0.1281767955801105
267,-0.1281767955801105
268,-0.1281767955801105
269,-0.1281767955801105
270,-0.1281767955801105
271,-0.1281767955801105
272,-0.1281767955801105
273,9.87182320441989
274,-0.1281767955801105
275,-0.1281767955801105
276,-0.1281767955801105
277,-0.1281767955801105
278,-0.1281767955801105
279,-0.1281767955801105
280,-0.1281767955801105
281,-0.1281767955801105
282,-0.1281767955801105
283,-0.1281767955801105
284,9.87182320441989
285,-0.1281767955801105
286,-0.1281767955801105
287,-0.1281767955801105
288,-0.1281767955801105
289,-0.1281767955801105
290,-0.1281767955801105
291,-0.1281767955801105
292,-0.1281767955801105
