,JFK
0,0.23278084714548802
1,0.23278084714548802
2,0.23278084714548802
3,0.23278084714548802
4,0.23278084714548802
5,0.23278084714548802
6,0.23278084714548802
7,0.23278084714548802
8,0.23278084714548802
9,0.23278084714548802
10,0.23278084714548802
11,0.23278084714548802
12,0.23278084714548802
13,0.23278084714548802
14,0.23278084714548802
15,0.23278084714548802
16,0.23278084714548802
17,0.23278084714548802
18,0.23278084714548802
19,0.23278084714548802
20,0.23278084714548802
21,0.23278084714548802
22,0.23278084714548802
23,0.23278084714548802
24,0.23278084714548802
25,0.23278084714548802
26,0.23278084714548802
27,0.23278084714548802
28,0.23278084714548802
29,0.23278084714548802
30,0.23278084714548797
31,0.23278084714548802
32,0.23278084714548802
33,0.23278084714548802
34,0.23278084714548802
35,0.23278084714548797
36,0.23278084714548802
37,0.23278084714548802
38,0.23278084714548802
39,0.23278084714548802
40,0.23278084714548802
41,0.23278084714548802
42,0.23278084714548802
43,0.23278084714548802
44,0.23278084714548802
45,0.23278084714548802
46,0.23278084714548802
47,0.23278084714548802
48,0.23278084714548802
49,0.23278084714548802
50,0.23278084714548802
51,0.23278084714548802
52,0.23278084714548802
53,0.23278084714548802
54,0.23278084714548802
55,0.23278084714548802
56,0.23278084714548802
57,0.23278084714548802
58,0.23278084714548802
59,0.23278084714548797
60,0.23278084714548802
61,0.23278084714548802
62,0.23278084714548802
63,0.23278084714548797
64,0.23278084714548802
65,0.23278084714548802
66,0.23278084714548802
67,0.23278084714548802
68,0.23278084714548802
69,0.23278084714548802
70,0.23278084714548802
71,0.23278084714548802
72,0.23278084714548802
73,0.23278084714548802
74,0.23278084714548802
75,0.23278084714548802
76,0.23278084714548802
77,0.23278084714548802
78,0.23278084714548802
79,0.23278084714548802
80,0.23278084714548802
81,0.23278084714548802
82,0.23278084714548802
83,0.23278084714548802
84,0.23278084714548802
85,0.23278084714548802
86,0.23278084714548802
87,0.23278084714548802
88,0.23278084714548802
89,0.23278084714548802
90,0.23278084714548802
91,0.23278084714548802
92,0.23278084714548802
93,0.23278084714548802
94,0.23278084714548802
95,0.23278084714548802
96,0.23278084714548802
97,0.23278084714548802
98,0.23278084714548802
99,0.23278084714548802
100,0.23278084714548802
101,0.23278084714548802
102,0.23278084714548802
103,0.23278084714548802
104,0.23278084714548802
105,0.23278084714548802
106,0.23278084714548802
107,0.23278084714548802
108,0.23278084714548802
109,0.23278084714548802
110,0.23278084714548802
111,0.23278084714548802
112,0.23278084714548802
113,0.23278084714548802
114,0.23278084714548802
115,0.23278084714548802
116,0.23278084714548802
117,0.23278084714548802
118,0.23278084714548802
119,0.23278084714548802
120,0.23278084714548802
121,0.23278084714548802
122,0.23278084714548802
123,0.23278084714548802
124,0.23278084714548802
125,0.23278084714548802
126,0.23278084714548802
127,0.23278084714548797
128,0.23278084714548802
129,0.23278084714548802
130,0.23278084714548802
131,0.23278084714548802
132,0.23278084714548802
133,0.23278084714548802
134,0.23278084714548802
135,0.23278084714548802
136,0.23278084714548797
137,0.23278084714548802
138,0.23278084714548802
139,0.23278084714548802
140,0.23278084714548797
141,0.23278084714548802
142,0.23278084714548802
143,0.23278084714548802
144,0.23278084714548802
145,0.23278084714548802
146,0.23278084714548797
147,0.23278084714548802
148,0.23278084714548802
149,0.23278084714548802
150,0.23278084714548802
151,0.23278084714548802
152,0.23278084714548802
153,0.23278084714548802
154,0.23278084714548802
155,0.23278084714548797
